"text","likes","comments","shares"
"""Rain was coming down through the light sockets and through the switches.""","186","177","34"
"The punishment - the biggest in Premier League history - took Everton from 14th to 19th in the table.","154","83","21"
"Before setting himself on fire, the US Air Force member said he would ""no longer be complicit in genocide"".","1087","699","261"
"A student who lost both parents to cancer has graduated from University. Read more: https://bbc.in/49yJoXW","8689","552","112"
"Joe Dean, the world number 2,930, said, “It's what people dream of"".","631","43","35"
"""It will look something like a taco by the time I'm finished with it.""","298","138","31"
"A US Air Force spokeswoman was quoted by US media as saying the man was an active-duty airman.","428","354","64"
"She was saved by police who escorted her to safety after hundreds gathered.","326","564","63"
"The challenge saw 27 groups walk across London, visiting all but one of the stations.","696","80","38"
"""The train was stopped after a railway official placed wood blocks on the tracks.""","625","198","77"
"""A pretty awe inspiring experience.""","318","44","28"
"""Your life is being ruined right in front of your eyes and you can't do anything about it.""","295","56","25"
"Police are investigating whether Mr Bolsonaro incited a failed coup after losing the 2022 election.","189","60","13"
"""It's the classic case of you won the battle but lost the war. Fewer children will be born because of this unless things change.”","257","266","25"
"""It's quite impressive."" (Via BBC Future)","363","16","52"
"""It's not only her mum and dad who would be 'insanely proud of her' - we are too.""","1349","71","43"
"The festival marks the end of Lunar New Year festivities - this year is Year of the Dragon.","302","35","25"
"""My next aim is to be playing at 91.""","690","96","42"
"Claudia Sheinbaum, a close ally of President López Obrador, had her phone number leaked online.","209","58","21"
"""The stomach rules the world."" (Via BBC Ideas)","304","158","28"
"Virgil Van Djik scored a dramatic late winner.","1961","206","79"
"Efforts to secure a ceasefire have intensified following mounting international pressure amid a desperate lack of food in Gaza.","419","749","57"
"Ukraine's president made a rare public statement on casualty figures.","1329","598","68"
"""I low-key love the roundabouts.""","230","179","24"
"It has been men only for 1,250 years.","426","98","38"
"Meryl Streep, Anne Hathaway and Emily Blunt had a The Devil Wears Prada reunion at the SAG Awards. Read more:
https://bbc.in/3TbDCWb","4474","270","101"
"Ms Vennells said last month she would hand back her title following the Horizon IT scandal.","739","220","54"
"Find out which actors took home awards for some of the biggest films last year. 🏆","304","66","26"
"A golf pro's video of the the moment someone 'mansplained' her technique has gone viral. Read more: https://bbc.in/3UUl1iU","7189","3535","337"
"The US says the allies targeted 18 sites, including missile storages, drones and radars.","536","408","60"
"The former president moves closer to the Republican nomination with a huge win in his rival's home state.","721","577","50"
"""The puppies all have potential adopters.""","704","81","54"
"""It's a big hit emotionally for all of us - but it is fantastic to reconnect.""","311","56","22"
"""Russell T Davies literally saved lives with this show.""","584","261","34"
"""The men in the village would mock us."" (Via BBC Future)","339","90","16"
"Wayne LaPierre cost the guns group $5.4m through lavish spending on himself.","566","67","39"
"It shaved off its journey time by a whole hour.","544","177","50"
"The mystery painter has been dubbed ""Danksy"" by locals.","665","149","63"
"""The project is beautiful."" (Via BBC Future)","277","40","12"
"""If new treatments are only available privately, it becomes a case of the 'haves and the have nots'.""","257","33","27"
"The disease may still have left its mark on humans. (Via BBC Future)","364","337","49"
"""The real victims will be members of the public who unwittingly buy these products believing the celebrity endorsements are genuine.""","272","150","38"
"""We refused to hug because that was a sign of giving up.""","339","18","22"
"""Ukrainians continue to show the heroism with which the world associates them so closely.""","1074","361","58"
"""People have the power to make a difference, whether it's in this industry or any other.""","257","55","15"
"""It's a really interesting piece of Beatles memorabilia that probably can't be replicated.""","698","379","58"
"Alexei Navalny's body has been returned to his mother, his spokeswoman says, more than a week after his death.","1177","306","63"
"Lee Anderson has been suspended from Conservative Party over claims ""Islamists"" had ""got control"" of Sadiq Khan","702","1311","86"
"""I'm kind of off.""","287","88","33"
"""You get to go home at a decent time and the hangover isn't too bad.""","663","107","42"
"Strictly's Amy Dowden says ""no evidence of disease"" was found during her latest cancer check. Read more: https://bbc.in/3STrc3S","11113","759","96"
"""Travelled some distance.""","699","129","58"
"""Extremely divisive.""","209","105","25"
"It is two years since Vladimir Putin announced a ""special military operation"" in Ukraine, which was in fact a full scale invasion.","473","486","81"
"""For me to turn around and say 'I'm a PGA pro'.... it's not in me to do that.""","1357","1137","80"
"He charged £100 per test, but was caught when a member of staff recognised his name.","236","102","23"
"Climate change might make journey times across the Atlantic even quicker - but bumpier - in the future.","366","144","33"
"""Actually being able to see a whale in the flesh is not something you get to see everyday.""","977","88","70"
"""Truly a collector’s dream.""","278","50","25"
"Gmail is the world's most popular email service, with more than 1.5bn active users worldwide.","306","71","38"
"""I deeply regret having used violence against my stablemates.""","245","24","23"
"""Words I've dreamed of.""","3737","172","26"
"There are fears that highly flammable cladding on the building's facade helped the blaze spread.","551","82","32"
"Thousands of people were evacuated from their homes.","288","90","34"
"The King has described being ""reduced to tears"" by the cards sent to him following his cancer diagnosis.","1592","192","54"
"Several clinics paused treatment after a court ruled frozen embryos have the same rights as children.","366","238","25"
"""She was a very gentle person, always interested in everyone.""","652","58","77"
"A star exploded in a neighbouring galaxy, it was visible from Earth for four months, now scientists have made a fresh discovery.","342","62","49"
"His wife - who was ""stunned by this revelation"" - reported the trading to her supervisor.","262","87","26"
"Police officers began hunting for Abdul Shokoor Ezedi after a woman and two girls were attacked in Clapham, London.","590","406","34"
"The bomb was discovered in a garden earlier this week.","315","74","61"
"The mayor of Valencia said at least 10 people have died in the fire that engulfed a high-rise residential building.","564","63","37"
"Under the law backed by MPs, possession will be legal, but strict rules mean it will be complicated.","254","145","40"
"Actress Alia Bhatt, adored by fans in India, is making her mark around the world.","275","96","14"
"Student Daryl George spoke of his ""anger, sadness, disappointment"" at the decision.","483","513","30"
"""You could've avoided a controversy.""","453","239","49"
"The new sanctions are related to Russia's invasion of Ukraine and the death of Alexei Navalny.","804","415","46"
"""Let's pay farmers, not lawyers.""","188","43","19"
"It's part of an effort to enhance its ""vast curatorial knowledge"".","366","187","30"
"The ruling means she remains in Syria with no chance of return to the UK.","1890","1427","125"
"""This discovery just adds to the weirdness of the Triassic.""","572","93","76"
"Ofgem said prices are at the lowest level since Russia's full-scale invasion of Ukraine.","233","155","14"
"The original ride travelled more than 800,000 miles during its lifetime, the park said.","271","56","37"
"""Our dogs are like our children, we would do anything for them.""","220","120","24"
"""It is expected to make comfortably into four figures.""","298","39","23"
"Five vehicles including a public bus, fell into the river.","604","122","67"
"It was once heralded as part of the vanguard of companies set to disrupt the traditional media landscape.","339","129","27"
"Kenneth Eugene Smith was executed by nitrogen gas in January, the first time the method of capital punishment had been used globally.","275","307","29"
"""The US has returned to the Moon.""","774","403","99"
"Wendy Williams' care team said it was sharing the news ""to correct inaccurate and hurtful rumours about her health"".","282","69","10"
"The judge ruled that Nathaniel Veltman committed white nationalist terrorism.","307","161","17"
"Kookaburras, which are a member of the kingfisher family, are native to Australia - and an unusual sight in the UK. Read more: https://bbc.in/3SPZl4F","6719","1189","517"
"""Our people have seen nothing but war, war, war all their lives.""","196","174","18"
"His family have asked for the ""constant"" speculation over his death to stop.","320","168","14"
"A high-rise residential building in the Spanish city of Valencia has been engulfed by a major fire.","2018","207","272"
"""They were covered in nail varnish so wouldn't grow.""","186","60","13"
"""The only reason I'd expect someone to shout at a child is if they're running into a road and a car is coming.""","365","221","32"
"How did it get there?","391","97","42"
"Scientists have worked out how some of the largest whales in the ocean produce their haunting and complex songs. Read more: https://bbc.in/49mNzWF","1321","110","152"
"Lyudmila Navalnaya said Russian authorities are pressuring her to allow a secretive burial for her son.","457","202","41"
"""We simply can't retain Bobi as the record holder.""","421","121","34"
"The scandal has been called the biggest miscarriage of justice in British history.","500","163","33"
"A judge ruled that a woman waited too long to sue the rock star.","206","54","18"
"The study has been described as ""groundbreaking"".","545","101","71"
"""What a true sci-fi epic looks like.""","374","132","21"
"The US president mentioned the Russian leader during a brief speech in San Francisco on Wednesday.","522","458","52"
"""The incident remains under investigation.""","171","44","14"
"The former Barcelona defender was found guilty of sexual assault and sentenced to four years and six months in jail.","190","63","22"
"""We are saddened that this will impact our patients' attempt to have a baby through IVF.""","363","231","64"
"Some Indian officials have said that it's more sinister than it seems.","230","81","24"
"""Give lots of room.""","320","136","30"
"“My nanna thought I was insane.”","377","261","30"
"""It's missing the mark here.""","299","179","33"
"Takeshi Ebisawa allegedly tried to traffic material he believed would go to Iran to build a nuclear bomb.","270","71","30"
"The name keeps cropping up in connection with mass shootings in the US - but the person does not actually exist.","144","20","10"
"The unnamed clergyman was allegedly running a Viagra trafficking operation from his home.","423","161","43"
"The tech giant also advised against drying a wet phone using an ""external heat source or compressed air"".","288","132","58"
"""It's certainly caused a real stir.""","692","140","106"
"""Why shouldn't there be a venue in the north of England for England to play at?""","387","293","18"
"A photographer has captured images of birds with ‘rainbow wings’. Read more: https://bbc.in/3SM523E","4408","227","315"
"The train travelled 86 miles on battery power in a trial journey.","856","448","65"
"""She's just amazed, absolutely amazed.""","451","53","20"
"Ewen MacIntosh, best known as ""Big Keith"" in The Office, has died aged 50.","327","51","13"
"King Charles told the UK Prime Minister Rishi Sunak that the messages and cards sent to him had ""reduced me to tears"".","677","263","34"
"The actress said the award had given her ""such a boost of energy and momentum"".","781","81","25"
"They first thought they had only won £2.60.","1119","254","36"
"""Xielo is a cheeky, funny, friendly, smart, caring and independent little boy.""","2108","385","37"
"""Like a ghost from the past.""","732","61","40"
"""I think Santa's elves are on a bit of a go-slow.""","311","144","25"
"""It's exciting that such a fantastic landmark is being repurposed for leisure use.""","575","200","63"
"""A race against time and nature.""","440","55","62"
"""Those responsible for Navalny's brutal treatment should be under no illusion - we will hold them accountable.""","563","416","30"
"Councillors have been unable to find a home for the statue of England's captain.","438","182","25"
"""Ewen was so full of empathy, kindness, and integrity and above all a really good man.""","1135","287","136"
"Some parts of the spacecraft might withstand re-entry, and could land almost anywhere in the world.","286","109","51"
"The £17m missile's booster rockets reportedly failed and it landed in the sea close to the launch site.","460","449","100"
"""It was incredibly emotional and moving.""","822","52","34"
"The way Clubcard prices were displayed made it tough for shoppers to compare deals, consumer group Which? said.","223","185","16"
"""I felt it only right to return it - hope someone new can enjoy it.""","449","47","25"
"They want it to appeal to modern shoppers.","777","691","60"
"""We have always been categorically against the deployment of nuclear weapons in space and we are still against it.""","364","272","35"
"""The children were regularly denied food, water, beds to sleep in, and virtually all forms of entertainment.""","652","121","39"
"The criminal trial will include more than 80 pages of draft lyrics from the 1976 Hotel California album.","138","12","18"
"The dating app has been repeatedly targeted by fraudsters.","175","68","21"
"A zoo in the US has extracted 70 coins from a white alligator's stomach. Read more: https://bbc.in/4bJvOSH","3127","527","177"
"""Was that a meteor?!""","624","173","102"
"""I demand that Alexei's body is released immediately so I can give him a decent burial.""","933","188","45"
"The two men are believed to have been in an argument that led to gunfire during the Kansas City parade.","239","207","20"
"""He had this warm positive energy about him, and watching him perform live showcased how brilliant he is.""","661","120","24"
"The bird native to Australia appears to have ""made itself quite at home"" here, a wildlife trust says.","2703","466","237"
"The last human death from such a bite was believed to have been in 1930.","670","256","92"
"The Spanish winery has suffered losses of more than €2.5 million (£2.1 million) as some of its most expensive wine was lost.","457","116","38"
"The Kremlin confirmed they had sent a full-sized luxury sedan of the type used by the Russian president himself.","485","296","50"
"Hundreds of staff will lose their jobs at head office and in stores, with closures starting today.","620","158","67"
"""I, like so many others, want to see an end to the fighting as soon as possible.""","991","969","96"
"Maxim Kuzminov flew a helicopter into Ukrainian territory, where he handed himself in.","639","382","49"
"""It has literally been staring us in the face.""","635","165","82"
"A body has been found in the search for Adbul Shokoor Ezedi, police have said.","1244","918","116"
"Valdo Calocane killed Barnaby Webber, Grace O'Malley-Kumar and Ian Coates last June.","279","221","24"
"""We never knew what came over the male lion that it had to attack.""","682","402","41"
"""I did all I could,"" the Argentine superstar said in a video posted on Chinese social media.","521","235","41"
"Documents showed the secret investigation may have helped wrongly accused postmasters prove their innocence.","260","122","53"
"""His friendship was a gift cherished by all who had the privilege of knowing him.""","2429","430","390"
"""She spends every day with them.""","951","121","41"
"""It's like telling someone to stop yawning - you can't."" (Via BBC Future)","164","40","9"
"""It's difficult when it's the world's richest man owing you money and closure.""","270","63","13"
"""More doctors mean more competition and reduced income for them.""","164","58","13"
"Hirotake Yano was seen as a pioneer of the dollar shop business model that is now popular worldwide.","300","32","30"
"""Gobsmacked.""","594","39","64"
"The coins were found in a rare, 36-year-old leucistic alligator, which has translucent white skin and blue eyes.","593","91","57"
"""I know the justice system will prevail.""","211","47","16"
"The HBO detective drama wrapped up with a dramatic finale, which left fans with some big questions. (Via BBC Culture)","488","221","44"
"A Swedish photographer has been named Underwater Photographer of the Year 2024, for an image of a free diver examining the aftermath of whaling. 

Read more to find out how the picture was taken: https://bbc.in/3T1tEqq

(📷 Alex Dawson/UPY2024)","4291","129","294"
"""What we need is a free, peaceful and happy Russia. The wonderful Russia of the future my husband so dreamed of.""","855","412","56"
"The newcomer has been described as ""precious"".","828","124","30"
"The format saw members of the public question Rishi Sunak on issues such as migration and the NHS.","282","319","21"
"""Often people don't know where they have a right to go.""","195","89","37"
"A man gatecrashed the speech for best film, standing behind Christopher Nolan and Cillian Murphy.","575","286","35"
"The 76-year-old was ""taken ill"" during training on Thursday amid reports he was to be sacked.","612","172","31"
"A year after breaking 30 bones, the star said ""it feels good to be back"".","1122","52","32"
"""Shane has reflected on the incident and has apologised.""","525","176","39"
"Four people drowned when an overcrowded dinghy steered by Ibrahima Bah began to sink on a crossing.","354","0","17"
"Protests were regularly held throughout 2023 demanding his resignation, but declined in the wake of the 7 October attacks.","581","516","54"
"""I am not afraid. Don’t you be afraid.""","1625","364","80"
"The campaign began after an influencer encouraged his followers to ""spam"" the British Museum's Instagram posts.","671","735","47"
"The children, aged seven, three, and 10-months-old, were discovered by police in Bristol, England on Sunday.","1690","11","150"
"""Within minutes, the worst happened.""","495","102","35"
"Millions of people have sent swabs of their DNA to consumer testing services. (Via BBC Future)","169","73","28"
"The published waiting list stands at 7.6 million - but the true scale of the backlog is thought to be much higher.","289","346","55"
"Leaked documents show that UK Special Forces had veto power over applications from Afghan commandos.","284","204","28"
"""Whales are definitely more like humans than we might think."" (Via BBC Ideas)","379","89","41"
"""You must be patient."" (Via BBC Cuture)","403","47","61"
"Bernadette Russell spent a whole year being kind to strangers. How did it change her? (Via BBC Ideas)","336","93","52"
"There is growing evidence air pollution not only affects our physical health, but also our mental health. (Via BBC Future)","219","41","39"
"""She had been famous. But by vanishing she became legendary."" - Via BBC Reel","334","68","39"
"Back To The Future star Michael J Fox presented the best film award.","2555","154","84"
"Cillian Murphy, Robert Downey Jr and Christopher Nolan all win Bafta Film Awards for Oppenheimer.","1435","342","40"
"Oppenheimer won a total of seven Baftas.","952","135","61"
"Seven people were killed in 2007 when an enormous sinkhole suddenly opened up, swallowing pedestrians and vehicles.","257","25","31"
"The gold-coloured shoes are being sold online for $399.","1882","713","166"
"Presenting a special episode of the show, Liza Tarbuck read out tributes from listeners to the DJ.","1556","266","36"
"It's the 77th British Academy Film Awards.","326","152","31"
"The film awards ceremony is one of the UK's most prestigious cultural events.","303","280","12"
"The announcement comes as Japan struggles with a shortage of soldiers - and has growing concerns about China and North Korea.","220","75","27"
"""I was shocked when I heard the news, in spite of the fact that anyone who watches the film should not be shocked.""","550","152","45"
"The government said it would provide those fleeing the conflict with ""certainty and stability"".","503","411","58"
"""Infection of the measles virus basically sets the immune system to default mode."" (Via BBC Future)","330","181","75"
"""To school kids of the mid-forties, Fearless Nadia meant courage, strength and idealism.""","247","21","32"
"""They reside in a closed place with no possibility to leave at will, which amounts to detention under international law.""","498","768","43"
"""It is one thing to build storage facility, it's another thing to hide the fact that American weapons are going to be based in Britain.""","304","202","51"
"The US Navy officer killed two Japanese citizens in a car accident - his release has sparked outrage.","210","205","40"
"Oppenheimer leads the pack, followed by Poor Things, Killers of the Flower Moon and The Zone of Interest.","289","76","39"
"It is the first gorilla to be born via caesarean section in the zoo's 115-year history.","1038","75","68"
"Even in the dead of Canada's winter, zombie fires are burning under thick layers of snow.","417","84","73"
"""Sustainability is about balance. Invasive species are pushing that balance out of whack."" (Via BBC Future Planet)","684","533","102"
"The ultimate US emblem of rugged masculinity is having a reinvention. (Via BBC Culture)","628","540","31"
"""It's like a rite of passage - we are making what we heard growing up into our own thing."" (Via BBC Future)","348","164","73"
"Snoop Dogg's cereal is making headlines, but he's far from the only celebrity with a food or drink brand. (Via BBC Worklife)","209","60","25"
"""We have the most. The most densely concentrated. And, better still, the most beautiful too."" (Via BBC Travel)","330","76","50"
"Nearly five years on, the French child is learning to swim and the family has adopted a dog.","1525","231","45"
"""It is an overwhelming defeat for the former president on all counts.""","971","744","63"
"Inspectors found the toilet facilities ""in a poor state"".","437","197","32"
"""It is hidden from our human senses, waiting to be discovered.""","350","37","47"
"Usually people don't have to worry about whether surprise parties are inadvertently announced on television.","492","90","60"
"Radio 1 has announced that Made in Chelsea star Jamie Laing will replace North on the drivetime show.","332","132","37"
"""Our soldiers performed their military duty with dignity.""","680","373","37"
"There has been minimal coverage of Navalny's death on Russian state TV channels - but on social media, it's quite a different picture.","331","218","54"
"Navalny died at 14:17 local time on 16 February and his body is currently with investigators.","692","307","50"
"""It's like finding liquid gold."" (Via BBC Future)","477","179","46"
"Nearly half of households currently spend around 12% of their income on bottled water. (Via BBC Future)","358","63","55"
"One woman died and more than 20 people were injured when gunfire erupted at the Kansas City parade.","293","191","26"
"""We don't want him to be ashamed of how he was born, or shy about it, or hiding it.""","766","112","23"
"Sir Keir Starmer's tax bill was five times lower than Prime Minister Rishi Sunak's for the same tax year.","231","230","21"
"""It was just chaos.""","433","116","50"
"Tributes have been paid from around the world following reports the anti-corruption campaigner has died.","766","375","50"
"""Our efforts to connect with the local community were misjudged.""","321","105","36"
"Only those accused of the very worst crimes are sent to the facility.","374","139","24"
"Inspectors found the toilet facilities ""in a poor state"".","245","104","9"
"The president said that the US has ""a whole number of options"" to respond if the death is confirmed.","727","496","29"
"Kiptum had planned to build a home for his wife and children before he was killed in a road accident.","355","36","15"
"The ardent critic of Vladimir Putin appeared in court via video link on Thursday 15 February.","566","271","43"
"The ex-president has also been barred from acting as a director of any business in New York for three years.","2691","752","161"
"Javier Milei wielded a chainsaw at one of his campaign rallies to symbolise his plans to slash public spending.","224","71","16"
"Six-time Olympic cycling champion Sir Chris Hoy says he is ""optimistic, positive and surrounded by love"" after revealing cancer diagnosis.","1436","191","41"
"The UK-based banking group reported a higher than expected pre-tax profit over 2023.","317","161","22"
"The wife of the jailed Russian opposition politician Alexei Navalny said she doesn't know whether the ""horrible news"" is true.","829","283","54"
"A modern ode to Brideshead Revisited and The Talented Mr Ripley, it was the film's gross-out scenes that made it a viral success.","248","83","12"
"""There are some medical and hormonal things going on in my world right now but I'm okay.""","477","240","14"
"""Brian will be able to enjoy all of his family and friends and continue to work on current projects.""","475","96","37"
"It is estimated that 127,000 tonnes of the gas escaped when a blowout started a fire that raged for over six months.","229","51","18"
"""Any illness, any sickness, brings families together.""","338","283","21"
"""Most people don't have $400m lying around.""","649","465","36"
"The pair are the permanent replacements for Phillip Schofield and Holly Willoughby, who left the show last year.","1515","613","36"
"Seen as President Vladimir Putin's most vociferous critic, Navalny was serving a 19-year jail term.","1760","767","403"
"The family has ""created a welfare minefield,"" the judge said.","261","7","42"
"Florence Pugh and Austin Butler were also among the star-studded cast celebrating the launch of the film.","350","154","25"
"The informant has been charged with making false statements about an alleged bribery scheme, because he disliked President Biden.","447","242","42"
"Philippe Grumbach was an exceptionally well plugged-in figure in French society for decades.","208","36","35"
"The UK's Labour Party has secured a double by-election win, overturning two sizeable Conservative majorities.","571","597","49"
"Esther Ghey and Ian Russell want better protection for teenagers on social media.","322","91","10"
"Screaming fans greeted the Hollywood actors at the world premiere of Dune: Part Two in London.","354","73","12"
"""The greatest mystery in the history of rock and roll.""","1002","81","130"
"""Xbox isn't going away... can we all chill now?""","188","107","13"
"The Oklahoma station later called Beyoncé, who has 32 Grammy awards, an ""icon"".","511","237","18"
"The parade is famous for its lavish costumes, towering floats and samba beats.","453","127","25"
"Measles is highly contagious and is likely to keep spreading unless more people are vaccinated, experts warned.","546","568","103"
"The arrests come after a 16-year-old boy was stabbed to death in a park on Wednesday.","682","0","39"
"It has become the first Christian Orthodox-majority country to legalise same-sex marriage.","1124","413","193"
"The boy died after the taxi he was travelling in was involved in a collision, police said.","1804","64","56"
"""I can't wait to rock the red carpet.""","203","128","14"
"The French forward's future was the subject of a major stand-off with Paris St-Germain last summer.","452","129","28"
"""More experienced person, he is predictable, he is a politician of the old formation.""","846","649","84"
"""Love, boys, relationships - that's my favourite topic to write about.""","476","251","47"
"The UK economy fell into recession during the final three months of 2023, according to official figures.","249","300","54"
"With each line given new colours, the rebrand means major changes to London's famous Tube map.","885","1150","105"
"If the Odysseus craft lands safely, it would be the first private mission to successfully land on the Moon.","333","149","46"
"Hafiz Naeem Ur Rehman said that the vote was rigged in his favour.","510","145","87"
"Local reports said Kansas City Chiefs players were still on a stage when the first shots rang out.","467","358","61"
"The UK economy shrank by 0.3% in the final quarter of 2023 - the second quarter in a row it has got smaller.","400","538","71"
"""Nothing short of exceptional.""","533","161","41"
"Donald Trump's son-in-law and former advisor dismissed any suggestion the investment was unethical.","486","211","52"
"Border officials noticed the sweets, which they described as ""pungent-smelling"".","192","75","32"
"US deputy attorney general Lisa Monaco described AI as the ""ultimate double-edged sword"".","175","45","19"
"The White House has said the threat is not imminent, but that congressional leaders would be briefed this week.","282","153","36"
"""It's quite hard work for them, but they are fit for purpose.""","301","55","38"
"""Guys, something's going on.""","295","122","48"
"The former President of France was accused of overspending on his campaign, then hiring a PR firm to cover it up.","365","106","52"
"Two armed people are in custody following the gunfire in Kansas City, police said.","498","386","51"
"""If there was something to say on that front, James [Corden] and I would happily announce it"".","350","163","54"
"""Ill-defined powers and nothing especially interesting to do.""","297","187","25"
"Tom Suozzi won the swing US district, left vacant when former Republican Congressman George Santos was expelled.","585","134","28"
"The strongest earthquake registered a magnitude of 4.8.","334","75","26"
"There was no confirmation from Russia's navy that the Caesar Kunikov had been sunk in the Black Sea.","857","445","40"
"Millions of tourists are drawn to Bali's beaches and resorts each year.","576","208","69"
"Nine people are believed to be missing.","516","45","37"
"It has prompted fears that Indonesia is in danger of sliding back towards its authoritarian past.","223","96","22"
"""No-one was that good.""","570","101","20"
"More than a million people in the Gazan city are staring ""death in the face,"" its aid chief said.","639","976","89"
"Violence against retail staff spiked to 1,300 incidents a day, said a leading trade body.","304","159","42"
"The country has been shaken by the resignations of the two most successful women in the PM's ruling Fidesz party.","354","101","40"
"The Mayor of London said laws on deepfakes are not ""fit for purpose"".","188","163","26"
"The multi-billionaire is one of the richest people in the world, with an estimated fortune of more than $190bn.","390","288","52"
"""A complete and utter radio genius"".","1680","194","72"
"The database was used by the Met to identify those at risk of committing, or being a victim of, gang-related violence.","167","96","22"
"""We want to use all instruments of rule of law to protect our democracy.""","387","304","34"
"Here are some of the reasons why the Asian nation's election is a key one to watch.","175","32","37"
"""What's going on?""","414","118","64"
"Prince Harry and his wife Meghan have had an online overhaul, launching a newly branded sussex.com website.","1204","1051","44"
"The bill covers aid for Ukraine, Israel and Taiwan and will now go to the House, where its fate is uncertain.","265","202","37"
"Videos from New York City show the world famous skyline obscured by snow as a powerful winter storm barrels across the north-eastern US.","479","90","40"
"The driver, who is in his 50s, told the call handler he had ""a heavy weekend.""","349","19","21"
"""It is likely polar bears will disappear from areas where sea ice will be lost in the future"".","1614","682","119"
"""She managed to escape without any damage and was able to be released back home shortly after.""","602","54","27"
"Videos posted online showed torrential rain and gale-force winds uprooting trees and blowing entire sheds away.","483","135","59"
"There were plenty of celebrities, outfits, poses and unusual facial expressions to keep us entertained.","202","71","19"
"""Steve was a truly wonderful broadcaster who has been a huge part of so many of our lives over many decades.""","4935","708","1469"
"The Taylor Swift effect is thought to be a contributing factor.","1346","738","129"
"""It's the start of accepting diversity as a country and accepting that all people have equal rights.""","488","339","40"
"""I am living proof you can rebuild your life after treatment.""","1052","84","56"
"The retailer's shops will remain open as usual while the administrators try to save the firm.","1169","340","192"
"""I have some amazing memories from the awards over the years and I can't wait to be back on the Brits stage.""","508","84","45"
"""It wouldn't be going too far to say [Swift] is one of the most powerful people in the world.""","1084","1386","71"
"Police have fired tear gas to prevent thousands of protesting farmers demanding minimum crop prices.","321","93","59"
"""They get recycled – Ed will become whoever’s next. Underneath Ed is the Queen and the King.""","343","105","31"
"The Israeli military said it will take action against soldiers found to have filmed and uploaded videos of Palestinian detainees.","454","607","63"
"The action, impacting four food apps, is thought to involve as many as 3,000 drivers and riders.","284","124","34"
"Israeli operations in the Gazan city should not go ahead ""without a credible plan,"" the US president said.","317","470","41"
"""I never dreamed that at this age the income streams would tail off so disastrously.""","871","254","67"
"""There are species that are already on the edge.""","302","37","43"
"Channel host Wojciech Szelag said that LGBT people had been targeted for ""years"" by ""hateful words"".","248","163","18"
"Trump's lawyers have said he should not be tried during an election campaign.","669","357","20"
"""I know my game is there and I can beat anyone"".","253","67","11"
"""I'm so sorry if the Super Bowl advertisement caused anyone in my family pain.""","275","195","19"
"""A whole life ahead of him to achieve incredible greatness"".","971","113","31"
"""We are very, very proud"".","614","65","34"
"At least twelve people were sent to hospital for minor injuries, and police said one person was missing.","1018","171","81"
"Labour said it has “withdrawn support” for Rochdale candidate Azhar Ali following his comments about Israel.","473","795","29"
"""We feel betrayed.""","180","44","12"
"Here's what we know about the Texas megachurch shooting so far.","273","311","28"
"Fluffy has been seen by millions across the world since the discovery last week.","256","63","22"
"""How on Earth did they manage to get 40 of the most famous, in-demand women on the planet in the same place at the same time?""","673","597","41"
"Allergy groups had expressed concern about the advert, saying food allergies were not a joke.","225","71","22"
"Herbert Wigwe, his wife, son, and a former president of the Nigerian stock exchange were all killed in the crash.","273","83","21"
"""This is a major issue that we need to start addressing now.""","166","125","32"
"""We need everyone to come together like they did on the first day. Everyone was united then, like brothers.""","593","522","54"
"""Are you being Sirius?!""","474","101","57"
"""Kenya has lost a special gem. Lost for words.""","2801","286","118"
"Swift's cat Olivia Benson has earned her keep, appearing in TV commercials and in music videos. (Via BBC Worklife)","556","232","55"
"A former miner recalled a painful choice he had to make during the 1984-85 miners' strike in the UK.","392","197","32"
"The military says the pair are in ""good medical condition""; meanwhile deadly attacks have been reported in Gaza.","453","726","49"
"""It was very emotional for us all"".","1141","90","49"
"The actor said he has struggled being in the spotlight.","405","72","31"
"A dog walker found the exotic animal which is native to swamps and rivers in parts of the US.","421","104","39"
"""They aren't yet mature but penguins do tend to pair for life.""","682","37","35"
"""The impact of theatre should be that you're shocked, and should be that you're disturbed.""","1031","301","47"
"The retailer is expected to undergo a major restructure, leading to shop closures and job losses.","1465","585","248"
"The San Francisco 49ers will face the Kansas City Chiefs in Las Vegas for the NFL championship.","233","303","28"
"Katalin Novak stepped down live on television.","450","152","67"
"Scientists said they were “blown away” to find the 1,700-year-old Roman chicken egg that still has a yolk inside.","832","190","91"
"A huge fireball streaking across the sky was captured on camera in Hawaii.","734","201","87"
"""I like to be fair... I try to share everyone's info no matter who it is.""","806","541","53"
"The White House called the comments ""appalling and unhinged"".","2041","1747","299"
"It comes after the King thanked the public for their ""support and good wishes"" since the news.","545","206","41"
"A billion people in countries around the world have greeted the Year of the Dragon.","960","148","78"
"""As all those who have been affected by cancer will know, such kind thoughts are the greatest comfort and encouragement.""","658","159","34"
"""The project is to get me to smile a bit and get other people to smile.""","2505","259","217"
"""[The Lionesses] gave us an unprecedented chance to change the future of the game forever.""","559","252","33"
"""With our present knowledge we do not understand how a galaxy with such extreme characteristics can exist.""","513","146","64"
"Prince Harry did not meet with his brother, the Prince of Wales, when he flew to see the King.","244","262","23"
"Chinese New Year is celebrated around the world by about two billion people.","862","269","64"
"San Francisco 49ers will face the Kansas City Chiefs, but who will hit the jackpot in Las Vegas?","181","206","17"
